,Star_name,Distance,Mass,Radius
0,Sun,0.000015813,1,1
1,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173537
2,Sirius,8.6,2.1,1.71´
3,2MASS J00040288-6410358,192,0.018137172,0.16750369
4,Canopus,310,15,71
5,2MASS J00242463-0158201,37.7,0.075412452,0.11201167
6,Alpha Centauri,4.4,1.1,1.2
7,2MASS J00274197+0503417,236,0.029592228,0.14797872
8,Arcturus,37,1.1,26
9,2MASSW J0030300-145033,87.2,0.051547752,0.10070774
10,Vega,25,2.2,2.7
11,2MASS J00332386-1521309 [de],131,0.027683052,0.14695109
12,Capella,43,2.6,12
13,2MASS J00345157+0523050,31,0.040092696,0.09659722
14,Rigel,860,23,78.9
15,2MASS 0036+1821,28.6,0.040092696,0.09659722
16,Procyon,11.4,1.5,1.9
17,2MASSW J0045214+163445,57,0.021955524,0.16647606
18,Betelgeuse,0640[1],20,950
19,WISEP J004701.06+680352.1 [fr],40,0.011455056,0.1335919
20,Achernar,144,6.7,9.3
21,2MASS J00501994-3322402 [de],34,0.03818352,0.09659722
22,Hadar,390,10.5,8.6
23,2MASS J00584253-0651239 [de],96,0.027683052,0.14695109
24,Altair,17,1.8,1.8
25,2MASSI J0103320+193536,70,0.049638576,0.10070774
26,Acrux,320,18,8.9
27,SDSSp J010752.33+004156.1 [de],51,0.049638576,0.10070774
28,Aldebaran,65,1.5,44
29,2MASSI J0117474-340325 [de],163,0.01909176,0.16647606
30,Antares,600,12,680
31,2MASS J01415823-4633574 [de],130,0.01909176,0.16544843
32,Spica,260,11.43,7.47
33,SDSS J015141.69+124429.6,70,0.044865636,0.09968011
34,Pollux,34,1.9,8.8
35,SDSS J020742.48+000056.2 [de],111,0.044865636,0.09968011
36,Fomalhaut,25,1.9,1.8
37,2MASS J02103857-3015313,101,0.01431882,0.15722739
38,Deneb,"2,600",19,203
39,2MASS J02340093-6442068,155,0.01909176,0.16647606
40,Mimosa,350,16,8.4
41,2MASS J02411151-0326587 [de],152,0.025773876,0.14489583
42,Regulus,77,3.8,3.1
43,2MASS J02431371−2453298,35,0.031501404,0.10173537
44,Adhara,430,12.5,14
45,LP 771-21,53,0.074457864,0.11098404
46,Shaula,700,14.5,8.8
47,Teegarden's star,12.578,0.07636704,0.13050901
48,Castor,52,2.8,2.4
49,2MASS J02535980+3206373,184,0.06204822,0.1952497
50,Gacrux,88,1.5,84
51,WISE J0254+0223,24,0.06204822,0.1952497
52,Bellatrix,240,8.6,5.8
53,DEN 0255-4700,16.2,0.07636704,0.09968011
54,Elnath,130,5,4.2
55,2MASS J03185403-3421292 [de],45,0.046774812,0.09968011
